id,cg_id,date,open,high,low,close
fiat_eur_19072015,fiat_eur,19-07-2015,1.08299,1.08703,1.08081,1.08244
fiat_eur_20072015,fiat_eur,20-07-2015,1.08244,1.09691,1.08116,1.09341
fiat_eur_21072015,fiat_eur,21-07-2015,1.09341,1.09667,1.08692,1.09273
fiat_eur_22072015,fiat_eur,22-07-2015,1.09273,1.10179,1.0921,1.09818
fiat_eur_23072015,fiat_eur,23-07-2015,1.09818,1.09957,1.09253,1.0977
fiat_eur_24072015,fiat_eur,24-07-2015,1.09818,1.09957,1.09253,1.0977
fiat_eur_25072015,fiat_eur,25-07-2015,1.09818,1.09957,1.09253,1.0977
fiat_eur_26072015,fiat_eur,26-07-2015,1.09794,1.11294,1.09689,1.10847
fiat_eur_27072015,fiat_eur,27-07-2015,1.10847,1.10995,1.10221,1.10594
fiat_eur_28072015,fiat_eur,28-07-2015,1.10594,1.10839,1.09667,1.09802
fiat_eur_29072015,fiat_eur,29-07-2015,1.09802,1.09892,1.08933,1.09297
fiat_eur_30072015,fiat_eur,30-07-2015,1.09297,1.11141,1.09211,1.09817
fiat_eur_31072015,fiat_eur,31-07-2015,1.09297,1.11141,1.09211,1.09817
fiat_eur_01082015,fiat_eur,01-08-2015,1.09297,1.11141,1.09211,1.09817
fiat_eur_02082015,fiat_eur,02-08-2015,1.09726,1.09959,1.09411,1.09498
fiat_eur_03082015,fiat_eur,03-08-2015,1.09498,1.09876,1.0879,1.08805
fiat_eur_04082015,fiat_eur,04-08-2015,1.08805,1.09376,1.0848,1.09049
fiat_eur_05082015,fiat_eur,05-08-2015,1.09049,1.09436,1.08732,1.09226
fiat_eur_06082015,fiat_eur,06-08-2015,1.09226,1.09783,1.08552,1.09633
fiat_eur_07082015,fiat_eur,07-08-2015,1.09226,1.09783,1.08552,1.09633
fiat_eur_08082015,fiat_eur,08-08-2015,1.09226,1.09783,1.08552,1.09633
fiat_eur_09082015,fiat_eur,09-08-2015,1.09637,1.10414,1.09252,1.10181
fiat_eur_10082015,fiat_eur,10-08-2015,1.10181,1.10883,1.09605,1.10412
fiat_eur_11082015,fiat_eur,11-08-2015,1.10412,1.1214,1.1024,1.1154
fiat_eur_12082015,fiat_eur,12-08-2015,1.1154,1.11888,1.10801,1.11493
fiat_eur_13082015,fiat_eur,13-08-2015,1.11493,1.11887,1.10978,1.11081
fiat_eur_14082015,fiat_eur,14-08-2015,1.11493,1.11887,1.10978,1.11081
fiat_eur_15082015,fiat_eur,15-08-2015,1.11493,1.11887,1.10978,1.11081
fiat_eur_16082015,fiat_eur,16-08-2015,1.1115,1.11248,1.10586,1.10771
fiat_eur_17082015,fiat_eur,17-08-2015,1.10771,1.10938,1.1017,1.10234
fiat_eur_18082015,fiat_eur,18-08-2015,1.10234,1.11341,1.10177,1.11191
fiat_eur_19082015,fiat_eur,19-08-2015,1.11191,1.12447,1.11071,1.12406
fiat_eur_20082015,fiat_eur,20-08-2015,1.12406,1.13884,1.12292,1.13814
fiat_eur_21082015,fiat_eur,21-08-2015,1.12406,1.13884,1.12292,1.13814
fiat_eur_22082015,fiat_eur,22-08-2015,1.12406,1.13884,1.12292,1.13814
fiat_eur_23082015,fiat_eur,23-08-2015,1.13766,1.1714,1.13693,1.16154
fiat_eur_24082015,fiat_eur,24-08-2015,1.16154,1.16215,1.13961,1.15134
fiat_eur_25082015,fiat_eur,25-08-2015,1.15134,1.15611,1.12915,1.13113
fiat_eur_26082015,fiat_eur,26-08-2015,1.13113,1.13643,1.12029,1.1243
fiat_eur_27082015,fiat_eur,27-08-2015,1.1243,1.13097,1.11556,1.118
fiat_eur_28082015,fiat_eur,28-08-2015,1.1243,1.13097,1.11556,1.118
fiat_eur_29082015,fiat_eur,29-08-2015,1.1243,1.13097,1.11556,1.118
fiat_eur_30082015,fiat_eur,30-08-2015,1.11676,1.12625,1.11663,1.12092
fiat_eur_31082015,fiat_eur,31-08-2015,1.12092,1.13321,1.12079,1.13144
fiat_eur_01092015,fiat_eur,01-09-2015,1.13144,1.13193,1.12164,1.1224
fiat_eur_02092015,fiat_eur,02-09-2015,1.1224,1.12433,1.10872,1.1122
fiat_eur_03092015,fiat_eur,03-09-2015,1.1122,1.11892,1.10895,1.1145
fiat_eur_04092015,fiat_eur,04-09-2015,1.1122,1.11892,1.10895,1.1145
fiat_eur_05092015,fiat_eur,05-09-2015,1.1122,1.11892,1.10895,1.1145
fiat_eur_06092015,fiat_eur,06-09-2015,1.11614,1.11777,1.11213,1.11689
fiat_eur_07092015,fiat_eur,07-09-2015,1.11689,1.12295,1.11524,1.12018
fiat_eur_08092015,fiat_eur,08-09-2015,1.12018,1.12162,1.11317,1.12063
fiat_eur_09092015,fiat_eur,09-09-2015,1.12063,1.12954,1.11715,1.12774
fiat_eur_10092015,fiat_eur,10-09-2015,1.12774,1.13495,1.12541,1.13363
fiat_eur_11092015,fiat_eur,11-09-2015,1.12774,1.13495,1.12541,1.13363
fiat_eur_12092015,fiat_eur,12-09-2015,1.12774,1.13495,1.12541,1.13363
fiat_eur_13092015,fiat_eur,13-09-2015,1.13311,1.13731,1.12835,1.13158
fiat_eur_14092015,fiat_eur,14-09-2015,1.13158,1.13287,1.12588,1.12663
fiat_eur_15092015,fiat_eur,15-09-2015,1.12663,1.13206,1.12141,1.12889
fiat_eur_16092015,fiat_eur,16-09-2015,1.12889,1.14412,1.12843,1.14287
fiat_eur_17092015,fiat_eur,17-09-2015,1.14287,1.14603,1.12691,1.12947
fiat_eur_18092015,fiat_eur,18-09-2015,1.14287,1.14603,1.12691,1.12947
fiat_eur_19092015,fiat_eur,19-09-2015,1.14287,1.14603,1.12691,1.12947
fiat_eur_20092015,fiat_eur,20-09-2015,1.12815,1.13299,1.11811,1.11892
fiat_eur_21092015,fiat_eur,21-09-2015,1.11892,1.12075,1.11133,1.11191
fiat_eur_22092015,fiat_eur,22-09-2015,1.11191,1.12135,1.11052,1.11849
fiat_eur_23092015,fiat_eur,23-09-2015,1.11849,1.12959,1.11644,1.12293
fiat_eur_24092015,fiat_eur,24-09-2015,1.12293,1.12337,1.11161,1.11911
fiat_eur_25092015,fiat_eur,25-09-2015,1.12293,1.12337,1.11161,1.11911
fiat_eur_26092015,fiat_eur,26-09-2015,1.12293,1.12337,1.11161,1.11911
fiat_eur_27092015,fiat_eur,27-09-2015,1.11824,1.12477,1.11461,1.12443
fiat_eur_28092015,fiat_eur,28-09-2015,1.12443,1.12812,1.11938,1.12465
fiat_eur_29092015,fiat_eur,29-09-2015,1.12465,1.12613,1.11573,1.11756
fiat_eur_30092015,fiat_eur,30-09-2015,1.11756,1.12092,1.11349,1.11927
fiat_eur_01102015,fiat_eur,01-10-2015,1.11927,1.13184,1.11499,1.12059
