date,type,qty_a,actif_a_id,price,qty_v,actif_v_id,destination,qty_f,actif_f_id,origin,value_f,value_a,id
01-12-23 17:01:00,Transfert,2500.0,fiat_eur,,,,Bitget,,,Trade Republic,,1.083,43
01-12-23 17:02:00,Retrait,189.85,fiat_eur,,,,Trade Republic,,,,,1.083,44
01-12-23 17:17:00,Swap,3814.0861,usd-coin,0.9998,3813.32328278,tether,Bitget,3.8140861,usd-coin,,,0.9998,45
03-12-23 17:00:00,Transfert,2.13,bittensor,,,,Polkadot Wallet,0.01,bittensor,MEXC,,328.66,46
03-12-23 17:01:00,Perte,2.12,bittensor,,,,Polkadot Wallet,,,,,328.66,47
05-12-23 17:47:00,Swap,801.0,tether,1.0,801.0,usd-coin,Bitget,0.801,tether,,,1.0,48
06-12-23 13:27:00,Swap,1355.265,zelcash,0.591,800.961615,tether,Bitget,1.355265,zelcash,,,0.591,49
08-12-23 15:03:00,Achat,2720.0,tether,0.919,2499.68,fiat_eur,Bitget,2.72,tether,,,1.0,50
09-12-23 08:00:00,Swap,317.15,tether,0.173419517578433,55.0,autonolas,Trust Wallet (ETH),0.006196566,ethereum,,2370.42,1.0,51
18-12-23 19:45:00,Transfert,1000.29,tether,,,,MEXC,0.29,tether,Bitget,,1.0,52
19-12-23 11:35:00,Transfert,2013.388,ocean-protocol,,,,Ledger,0.57,ocean-protocol,Binance,,0.512522145,53
19-12-23 11:55:00,Transfert,1389.18776,cardano,,,,Ledger,1.0,cardano,Binance,,0.598166665,54
19-12-23 12:34:00,Swap,24.63,algorand,0.202996346000812,4.999800002,tether,MEXC,,,,,0.202996346000812,55
19-12-23 12:35:00,Transfert,24.63,algorand,,,,Ledger,0.1,algorand,MEXC,,0.203,56
19-12-23 12:42:00,Transfert,923.1,realio-network,,,,Ledger,3.0,realio-network,MEXC,,0.61704601,57
19-12-23 12:57:00,Transfert,1353.909735,zelcash,,,,Ledger,1.75,zelcash,Bitget,,0.596178864,58
20-12-23 23:45:00,Swap,316005688.0,pepe,0.00000126579999999873,399.99999987,tether,MEXC,,,,,0.00000126579999999873,59
24-12-23 17:25:00,Transfert,316005688.0,pepe,,,,Binance,8100000.0,pepe,MEXC,,0.000001405,60
24-12-23 17:28:00,Transfert,595.23566,tether,,,,Binance,1.0,tether,MEXC,,1.0,61
29-12-23 18:05:00,Depot,5000.0,fiat_eur,,,,Bitget,,,,,1.1061,62
29-12-23 18:25:00,Transfert,1489.2720139,usd-coin,,,,Ledger,0.29,usd-coin,Bitget,,1.0,63
31-12-23 08:05:00,Transfert,516.9902685,tether,,,,Binance,0.29,tether,Bitget,,1.0,64
31-12-23 09:05:00,Swap,5500.0,the-graph,0.1824,1003.2,tether,Binance,4.4,the-graph,,,0.1824,65
02-01-24 18:08:00,Swap,976.748791828,revest-finance,0.324701494031486,317.151792,tether,Trust Wallet (ETH),0.005795754,ethereum,,2367.27,0.324701494031486,66
02-01-24 18:33:00,Transfert,300.29,tether,,,,MEXC,0.29,tether,Bitget,,1.0,67
03-01-24 12:50:00,Swap,886.68,swarm-markets,0.338,299.69784,tether,MEXC,0.29969784,tether,,,0.338,68
06-01-24 22:17:00,Transfert,1032.24555733,akash-network,,,,KuCoin,0.5,akash-network,Kraken,,3.04,69
10-01-24 16:30:00,Achat,5467.0,tether,0.9145,4999.5715,fiat_eur,Bitget,5.467,tether,,,1.0,70
10-01-24 17:00:00,Swap,0.01013928,binancecoin,295.878997325254,3.0,tether,Binance,,,,,295.878997325254,71
10-01-24 17:10:00,Transfert,0.01013928,binancecoin,,,,Ledger,0.0012,binancecoin,Binance,,295.0,72
10-01-24 17:20:00,Transfert,1.0,usd-coin,,,,Binance,0.00017661,binancecoin,Ledger,295,1.0,73
10-01-24 17:25:00,Transfert,1487.98,usd-coin,,,,Binance,0.00011098,binancecoin,Ledger,295,1.0,74
10-01-24 21:53:00,Swap,1487.5536,tether,0.999363386569734,1486.6066034,usd-coin,Binance,,,,,1.0,75
