date,open,high,low,close,id,cg_id
02-02-2017,1.00715,1.00939,1.00103,1.00772,fiat_chf_02022017,fiat_chf
03-02-2017,1.00715,1.00939,1.00103,1.00772,fiat_chf_03022017,fiat_chf
04-02-2017,1.00715,1.00939,1.00103,1.00772,fiat_chf_04022017,fiat_chf
05-02-2017,1.00827,1.009705,1.00383,1.009265,fiat_chf_05022017,fiat_chf
06-02-2017,1.00824,1.1995,0.99931,1.00231,fiat_chf_06022017,fiat_chf
07-02-2017,1.002415,1.00702,1.000015,1.00534,fiat_chf_07022017,fiat_chf
08-02-2017,1.005265,1.00639,0.99808,0.99838,fiat_chf_08022017,fiat_chf
09-02-2017,0.99839,0.999,0.9938,0.997645,fiat_chf_09022017,fiat_chf
10-02-2017,0.99839,0.999,0.9938,0.997645,fiat_chf_10022017,fiat_chf
11-02-2017,0.99839,0.999,0.9938,0.997645,fiat_chf_11022017,fiat_chf
12-02-2017,0.99674,0.998085,0.993085,0.994235,fiat_chf_12022017,fiat_chf
13-02-2017,0.994415,0.996905,0.991595,0.99371,fiat_chf_13022017,fiat_chf
14-02-2017,0.99374,0.995265,0.988245,0.99452,fiat_chf_14022017,fiat_chf
15-02-2017,0.99431,1.00334,0.99404,1.00307,fiat_chf_15022017,fiat_chf
16-02-2017,1.00282,1.00309,0.996635,0.997445,fiat_chf_16022017,fiat_chf
17-02-2017,1.00282,1.00309,0.996635,0.997445,fiat_chf_17022017,fiat_chf
18-02-2017,1.00282,1.00309,0.996635,0.997445,fiat_chf_18022017,fiat_chf
19-02-2017,0.997665,0.99881,0.99556,0.99711,fiat_chf_19022017,fiat_chf
20-02-2017,0.99681,0.997415,0.989555,0.990285,fiat_chf_20022017,fiat_chf
21-02-2017,0.99073,0.992265,0.98609,0.98963,fiat_chf_21022017,fiat_chf
22-02-2017,0.98993,0.99461,0.988475,0.99366,fiat_chf_22022017,fiat_chf
23-02-2017,0.99375,0.99744,0.99196,0.992535,fiat_chf_23022017,fiat_chf
24-02-2017,0.99375,0.99744,0.99196,0.992535,fiat_chf_24022017,fiat_chf
25-02-2017,0.99375,0.99744,0.99196,0.992535,fiat_chf_25022017,fiat_chf
26-02-2017,0.992965,0.995415,0.990265,0.99086,fiat_chf_26022017,fiat_chf
27-02-2017,0.99109,0.99906,0.989875,0.994125,fiat_chf_27022017,fiat_chf
28-02-2017,0.9942,0.99473,0.987235,0.99118,fiat_chf_28022017,fiat_chf
01-03-2017,0.99118,0.991585,0.985565,0.986865,fiat_chf_01032017,fiat_chf
02-03-2017,0.986905,0.992545,0.98643,0.99252,fiat_chf_02032017,fiat_chf
03-03-2017,0.986905,0.992545,0.98643,0.99252,fiat_chf_03032017,fiat_chf
04-03-2017,0.986905,0.992545,0.98643,0.99252,fiat_chf_04032017,fiat_chf
05-03-2017,0.99125,0.992755,0.987225,0.988135,fiat_chf_05032017,fiat_chf
06-03-2017,0.9881,0.989365,0.983225,0.986905,fiat_chf_06032017,fiat_chf
07-03-2017,0.98668,0.98782,0.98477,0.98546,fiat_chf_07032017,fiat_chf
08-03-2017,0.98526,0.990865,0.984145,0.98796,fiat_chf_08032017,fiat_chf
09-03-2017,0.988075,0.992195,0.985735,0.989115,fiat_chf_09032017,fiat_chf
10-03-2017,0.988075,0.992195,0.985735,0.989115,fiat_chf_10032017,fiat_chf
11-03-2017,0.988075,0.992195,0.985735,0.989115,fiat_chf_11032017,fiat_chf
12-03-2017,0.98961,0.99399,0.98845,0.99276,fiat_chf_12032017,fiat_chf
13-03-2017,0.99275,0.99312,0.9893,0.989985,fiat_chf_13032017,fiat_chf
14-03-2017,0.989935,1.001415,0.988995,0.99973,fiat_chf_14032017,fiat_chf
15-03-2017,0.99954,1.004885,0.998385,1.003485,fiat_chf_15032017,fiat_chf
16-03-2017,1.003485,1.00578,1.00117,1.001475,fiat_chf_16032017,fiat_chf
17-03-2017,1.003485,1.00578,1.00117,1.001475,fiat_chf_17032017,fiat_chf
18-03-2017,1.003485,1.00578,1.00117,1.001475,fiat_chf_18032017,fiat_chf
19-03-2017,1.002005,1.00431,1.2009,1.00133,fiat_chf_19032017,fiat_chf
20-03-2017,1.00157,1.00787,0.999725,1.00618,fiat_chf_20032017,fiat_chf
21-03-2017,1.006195,1.011955,1.00537,1.00868,fiat_chf_21032017,fiat_chf
22-03-2017,1.008645,1.00888,1.005815,1.006675,fiat_chf_22032017,fiat_chf
23-03-2017,1.00675,1.0112,1.004065,1.00853,fiat_chf_23032017,fiat_chf
24-03-2017,1.00675,1.0112,1.004065,1.00853,fiat_chf_24032017,fiat_chf
25-03-2017,1.00675,1.0112,1.004065,1.00853,fiat_chf_25032017,fiat_chf
26-03-2017,1.011635,1.018985,1.01043,1.014705,fiat_chf_26032017,fiat_chf
27-03-2017,1.01449,1.017125,1.006525,1.007665,fiat_chf_27032017,fiat_chf
28-03-2017,1.00751,1.008765,1.002375,1.00367,fiat_chf_28032017,fiat_chf
29-03-2017,1.1937,1.005165,0.99858,0.99866,fiat_chf_29032017,fiat_chf
30-03-2017,0.99876,1.000515,0.99683,0.99689,fiat_chf_30032017,fiat_chf
31-03-2017,0.99876,1.000515,0.99683,0.99689,fiat_chf_31032017,fiat_chf
01-04-2017,0.99876,1.000515,0.99683,0.99689,fiat_chf_01042017,fiat_chf
02-04-2017,0.997475,0.9992,0.99624,0.99851,fiat_chf_02042017,fiat_chf
03-04-2017,0.998305,0.99883,0.99627,0.99813,fiat_chf_03042017,fiat_chf
04-04-2017,0.998045,0.998755,0.992025,0.995065,fiat_chf_04042017,fiat_chf
05-04-2017,0.995355,0.997325,0.99328,0.99507,fiat_chf_05042017,fiat_chf
06-04-2017,0.995225,0.997365,0.99046,0.990805,fiat_chf_06042017,fiat_chf
07-04-2017,0.995225,0.997365,0.99046,0.990805,fiat_chf_07042017,fiat_chf
08-04-2017,0.995225,0.997365,0.99046,0.990805,fiat_chf_08042017,fiat_chf
09-04-2017,0.99075,0.992565,0.989315,0.99138,fiat_chf_09042017,fiat_chf
10-04-2017,0.99167,0.994415,0.99069,0.9927,fiat_chf_10042017,fiat_chf
11-04-2017,0.99249,0.997805,0.991115,0.99694,fiat_chf_11042017,fiat_chf
12-04-2017,0.99744,0.999155,0.99333,0.994295,fiat_chf_12042017,fiat_chf
13-04-2017,0.99408,0.99719,0.99384,0.994715,fiat_chf_13042017,fiat_chf
14-04-2017,0.99408,0.99719,0.99384,0.994715,fiat_chf_14042017,fiat_chf
15-04-2017,0.99408,0.99719,0.99384,0.994715,fiat_chf_15042017,fiat_chf
16-04-2017,0.996095,0.998985,0.994245,0.99582,fiat_chf_16042017,fiat_chf
17-04-2017,0.995695,1.004495,0.995205,1.00387,fiat_chf_17042017,fiat_chf
18-04-2017,1.00378,1.00437,1.00077,1.00179,fiat_chf_18042017,fiat_chf
19-04-2017,1.00118,1.00596,1.001015,1.00136,fiat_chf_19042017,fiat_chf
20-04-2017,1.001895,1.00427,1.000045,1.00391,fiat_chf_20042017,fiat_chf
21-04-2017,1.001895,1.00427,1.000045,1.00391,fiat_chf_21042017,fiat_chf
22-04-2017,1.001895,1.00427,1.000045,1.00391,fiat_chf_22042017,fiat_chf
23-04-2017,1.01027,1.01034,1.001945,1.00421,fiat_chf_23042017,fiat_chf
24-04-2017,1.00439,1.008175,1.003,1.00651,fiat_chf_24042017,fiat_chf
25-04-2017,1.006955,1.00812,1.00309,1.006825,fiat_chf_25042017,fiat_chf
26-04-2017,1.006705,1.008045,1.003635,1.005725,fiat_chf_26042017,fiat_chf
27-04-2017,1.00662,1.010735,1.004185,1.005095,fiat_chf_27042017,fiat_chf
28-04-2017,1.00662,1.010735,1.004185,1.005095,fiat_chf_28042017,fiat_chf
29-04-2017,1.00662,1.010735,1.004185,1.005095,fiat_chf_29042017,fiat_chf
30-04-2017,1.006515,1.00722,1.00347,1.00367,fiat_chf_30042017,fiat_chf
01-05-2017,1.003705,1.00885,1.00336,1.00852,fiat_chf_01052017,fiat_chf
02-05-2017,1.008255,1.011025,1.005195,1.005295,fiat_chf_02052017,fiat_chf
03-05-2017,1.005365,1.01391,1.1943,1.01389,fiat_chf_03052017,fiat_chf
04-05-2017,1.01374,1.01433,1.009755,1.01256,fiat_chf_04052017,fiat_chf
05-05-2017,1.01374,1.01433,1.009755,1.01256,fiat_chf_05052017,fiat_chf
06-05-2017,1.01374,1.01433,1.009755,1.01256,fiat_chf_06052017,fiat_chf
07-05-2017,1.012105,1.012655,1.00086,1.00104,fiat_chf_07052017,fiat_chf
08-05-2017,1.2018,1.00207,0.990995,0.99257,fiat_chf_08052017,fiat_chf
09-05-2017,0.992635,0.99517,0.99057,0.99114,fiat_chf_09052017,fiat_chf
10-05-2017,0.990915,0.994395,0.9901,0.992225,fiat_chf_10052017,fiat_chf
11-05-2017,0.99219,1.00123,0.991475,0.99878,fiat_chf_11052017,fiat_chf
12-05-2017,0.99219,1.00123,0.991475,0.99878,fiat_chf_12052017,fiat_chf
13-05-2017,0.99219,1.00123,0.991475,0.99878,fiat_chf_13052017,fiat_chf
14-05-2017,0.999705,1.004225,0.99799,1.1934,fiat_chf_14052017,fiat_chf
15-05-2017,1.00344,1.01551,1.003145,1.01434,fiat_chf_15052017,fiat_chf
16-05-2017,1.01422,1.023075,1.013955,1.021835,fiat_chf_16052017,fiat_chf
17-05-2017,1.021605,1.024655,1.017775,1.02052,fiat_chf_17052017,fiat_chf
18-05-2017,1.02034,1.028175,1.01987,1.02783,fiat_chf_18052017,fiat_chf
19-05-2017,1.02034,1.028175,1.01987,1.02783,fiat_chf_19052017,fiat_chf
20-05-2017,1.02034,1.028175,1.01987,1.02783,fiat_chf_20052017,fiat_chf
21-05-2017,1.027015,1.03179,1.023995,1.027305,fiat_chf_21052017,fiat_chf
22-05-2017,1.027325,1.03073,1.02424,1.02453,fiat_chf_22052017,fiat_chf
23-05-2017,1.024515,1.02779,1.02284,1.027645,fiat_chf_23052017,fiat_chf
24-05-2017,1.027725,1.03088,1.02668,1.027655,fiat_chf_24052017,fiat_chf
25-05-2017,1.02803,1.031295,1.024455,1.026325,fiat_chf_25052017,fiat_chf
26-05-2017,1.02803,1.031295,1.024455,1.026325,fiat_chf_26052017,fiat_chf
27-05-2017,1.02803,1.031295,1.024455,1.026325,fiat_chf_27052017,fiat_chf
28-05-2017,1.024995,1.02757,1.022815,1.02309,fiat_chf_28052017,fiat_chf
29-05-2017,1.022585,1.026985,1.019545,1.02594,fiat_chf_29052017,fiat_chf
30-05-2017,1.026075,1.03414,1.024465,1.033285,fiat_chf_30052017,fiat_chf
31-05-2017,1.0333,1.034075,1.02884,1.029245,fiat_chf_31052017,fiat_chf
01-06-2017,1.02937,1.0392,1.02887,1.038985,fiat_chf_01062017,fiat_chf
02-06-2017,1.02937,1.0392,1.02887,1.038985,fiat_chf_02062017,fiat_chf
