index,total_fiat_usd,total_fiat_eur,total_fiat_cad,total_fiat_chf,cash_in_fiat_usd,cash_in_fiat_eur,cash_in_fiat_cad,cash_in_fiat_chf,cash_in_fiat_usd_percent,cash_in_fiat_eur_percent,cash_in_fiat_cad_percent,cash_in_fiat_chf_percent
2023-12-22,19389.858315750374,17603.77890776821,25725.545714257783,16597.4246119182,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2541635176257944,1.2057671203406806,1.2074316969032333,1.1917736343159275
2023-12-23,19801.115673191423,17977.153662585497,26271.182499059894,16949.45467191507,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2807642263910968,1.2313413453569513,1.2330412274564102,1.2170510586031669
2023-12-24,19862.313560847713,18032.714361708742,26327.227560637974,16986.7171483836,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.284722592502103,1.2351469637152,1.2356717094122027,1.2197266807579812
2023-12-25,20065.845255408945,18172.292388524675,26478.029710369006,17129.651663729135,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2978873109772198,1.2447073311987074,1.2427496271197163,1.2299900553962497
2023-12-26,20634.97515122443,18579.020718513704,27255.64351824014,17396.305041625088,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.3346994392815377,1.2725661023058263,1.279247028185648,1.249137029864173
2023-12-27,20779.280241956963,18783.3603691329,27488.729286110913,17555.405564155455,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.34403329707757,1.2865623035413352,1.290186937773969,1.2605612003238131
2023-12-28,20119.299378129068,18228.295955686182,26661.144372909992,16930.876681473903,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.3013447993967104,1.2485432837097525,1.2513441366463767,1.2157170709692988
2023-12-29,20040.2072768892,18156.63768359324,26556.335259516847,16864.31876673724,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2962290101891722,1.2436350654889492,1.2464249078361955,1.2109378977064034
2023-12-30,19918.01095842366,18045.92653924263,26394.406475257623,16761.48761143771,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2883251791187216,1.2360519290264511,1.2388247601492512,1.2035541341082712
2023-12-31,20001.66037902546,18121.713790408485,26484.197369047124,16808.824218686044,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2937357422017997,1.2412429607972753,1.2430391069490796,1.2069531265288194
2024-01-01,20955.44849217434,19153.83844777648,27916.775674323697,17818.804360581227,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.3554281091895868,1.3119381213345418,1.3102773483959143,1.2794744804398963
2024-01-02,20288.347499177104,18575.67066395999,27091.044137265042,17226.288573750146,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.3122790714625057,1.2723366410263262,1.2715215357087348,1.2369290428691677
2024-01-03,19421.050281878008,17744.221363068074,25924.979518609052,16512.953959985043,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2561810582041346,1.2153866966707243,1.2167921473862822,1.1857082417504372
2024-01-04,19957.926682502475,18239.242830577186,26664.43106074601,16969.510955656573,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2909069847257593,1.2492930875946575,1.2514983977499161,1.2184911946920103
2024-01-05,19483.372474724332,17805.555024742815,26030.411397321703,16566.014492519233,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2602121459683402,1.2195877328803342,1.2217406057644131,1.189518239094941
2024-01-06,18867.507420281578,17242.7254053367,25207.595904101723,16042.366472620708,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2203771213650243,1.1810368369057045,1.1831216579585266,1.1519178331061304
2024-01-07,18200.087587683,16620.173860503535,24293.992722092742,15435.05231582594,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1772074606406282,1.1383953002555323,1.1402415786551778,1.1083098025388407
2024-01-08,19184.29585944972,17549.875915444387,25688.6661213842,16352.667887969008,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.240867446603119,1.2020750462597363,1.205700748611638,1.1741989432271227
2024-01-09,18436.337596541143,16802.00643099797,24667.29675748079,15686.094625799686,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1924884460570082,1.1508498837888708,1.1577626501191587,1.1263358284506944
2024-01-10,25237.43764554628,22998.321102961912,33804.289784075656,21501.727508261014,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.205952413681598,1.1734302895485056,1.1811134825071834,1.1573684273196547
2024-01-11,25130.454048457115,22948.509742171453,33691.226159440026,21424.452291136353,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2008402811051442,1.1708887927473488,1.1771630675660245,1.1532089523900244
2024-01-12,24206.616058283096,22104.88371469034,32452.679708921503,20636.853192964158,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1566953615713766,1.127844940578056,1.133888562443661,1.1108150410515185
2024-01-13,24504.704755371222,22377.09094803231,32852.31330447071,20890.982587402363,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1709393109292097,1.1417336158082025,1.1478516609374012,1.1244940041703488
2024-01-14,24099.094769634827,22007.70277493295,32357.985095479547,20622.810686298857,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1515575357988612,1.1228865326243804,1.130579956187724,1.1100591783493892
2024-01-15,24234.250733332527,22283.13907585101,32703.467785828547,20878.906124581634,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1580158642129372,1.136939962737452,1.1426510355137651,1.1238439672476392
2024-01-16,24629.35449883501,22632.905871876763,33262.01035678258,21289.00341759696,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1768956073292713,1.1547859155310274,1.1621663741090105,1.145918177744579
2024-01-17,24721.871905370444,22730.038621011226,33343.0512318872,21460.051393773796,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1813164836197236,1.1597418646818902,1.1649979221412765,1.1551251369113686
2024-01-18,24010.758359415424,22033.069996527145,32243.27170834985,20845.386430017297,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.147336445345217,1.1241808299796985,1.126571898955095,1.12203971053537
2024-01-19,24200.775611003515,22207.436142823663,32498.439736802655,21010.35344098929,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1564162800896227,1.133077414935625,1.1354874064435072,1.1309193510189044
2024-01-20,24067.859775562563,22085.46815405462,32319.951355373236,20894.96008643709,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1500649945582722,1.12685431144315,1.1292510667622493,1.124708100075002
2024-01-21,23829.06362586224,21896.480276645507,32119.186173059854,20708.67975967449,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1386542960098085,1.1172116901962985,1.122236381195329,1.1146812327573417
2024-01-22,22849.339438050905,21052.313921695015,30759.228961695786,19884.639162167536,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.0918388955865477,1.07414026920509,1.0747198142674346,1.0703257934086776
2024-01-23,23021.83615911777,21151.610737691124,31133.51882010098,19864.391180911836,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.100081524653903,1.0792066343116524,1.087797408884918,1.0692359100858932
2024-01-24,23133.17778151004,21326.404769442845,31172.588305497964,20057.726566993002,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1054019022672332,1.0881250510243992,1.0891624869933991,1.079642528421468
2024-01-25,22820.514500429552,21023.818934303934,30700.794409446204,19719.265599583116,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.0904615171225804,1.0726863856300544,1.072678125536593,1.061424269567161
2024-01-26,23769.008385929184,21897.636380823966,31976.818040587077,20538.861619094234,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.135784600497583,1.1172706774438808,1.1172620740344024,1.105540471661834
2024-01-27,23988.674782100592,22100.00809067178,32272.338672577884,20728.67592014015,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1462811978300145,1.1275961743799403,1.1275874914602053,1.115757561381713
2024-01-28,23745.899398545705,21919.359196685873,31855.0905156663,20452.354492797982,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1346803545157107,1.1183790283531723,1.1130089445708191,1.1008840729294544
2024-01-29,24234.155196022162,22344.688349212734,32469.358623768592,20883.86168517755,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1580112990327613,1.1400803563922324,1.1344713195826313,1.1241107090418128
2024-01-30,24382.54387361732,22539.69815265615,32757.926811026526,21001.420224563688,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1651019429571647,1.150030230954595,1.144553820317599,1.1304385048803125
2024-01-31,23836.3199952427,21924.503306882543,31908.543272258707,20446.495505402083,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1390010362887477,1.1186414933692281,1.1148765705996968,1.100568702593491
